feature,family,fed_subset,price_action,source,available_from,description,coverage_cpi_discovery,coverage_nfp_discovery,in_models,rule_primitive_eligible
f_xau_px_age_min,PRICE,False,False,Dukascopy XAUUSD,chiusura della candela,"rendimenti, volatilità, trend dell'oro (fase 1)",1.0,1.0,False,False
f_xau_atr_h1_pct,PRICE,False,False,Dukascopy XAUUSD,chiusura della candela,"rendimenti, volatilità, trend dell'oro (fase 1)",1.0,1.0,True,True
f_xau_atr_d1_pct,PRICE,False,False,Dukascopy XAUUSD,chiusura della candela,"rendimenti, volatilità, trend dell'oro (fase 1)",1.0,1.0,True,True
f_xau_atr_ratio_5_20,PRICE,False,False,Dukascopy XAUUSD,chiusura della candela,"rendimenti, volatilità, trend dell'oro (fase 1)",1.0,1.0,True,True
f_xau_ret_5m_atrh,PRICE,False,False,Dukascopy XAUUSD,chiusura della candela,"rendimenti, volatilità, trend dell'oro (fase 1)",0.987,0.987,True,True
f_xau_ret_15m_atrh,PRICE,False,False,Dukascopy XAUUSD,chiusura della candela,"rendimenti, volatilità, trend dell'oro (fase 1)",0.987,0.987,True,True
f_xau_ret_60m_atrh,PRICE,False,False,Dukascopy XAUUSD,chiusura della candela,"rendimenti, volatilità, trend dell'oro (fase 1)",0.987,0.987,True,True
f_xau_ret_240m_atrh,PRICE,False,False,Dukascopy XAUUSD,chiusura della candela,"rendimenti, volatilità, trend dell'oro (fase 1)",0.987,0.987,True,True
f_xau_ret_24h_atrd,PRICE,False,False,Dukascopy XAUUSD,chiusura della candela,"rendimenti, volatilità, trend dell'oro (fase 1)",1.0,1.0,True,True
f_xau_ret_5d_atrd,PRICE,False,False,Dukascopy XAUUSD,chiusura della candela,"rendimenti, volatilità, trend dell'oro (fase 1)",1.0,1.0,True,True
f_xau_ret_20d_atrd,PRICE,False,False,Dukascopy XAUUSD,chiusura della candela,"rendimenti, volatilità, trend dell'oro (fase 1)",1.0,1.0,True,True
f_xau_range_1h_atrh,PRICE,False,False,Dukascopy XAUUSD,chiusura della candela,"rendimenti, volatilità, trend dell'oro (fase 1)",0.987,0.987,True,True
f_xau_rv_1h_vs_atr,PRICE,False,False,Dukascopy XAUUSD,chiusura della candela,"rendimenti, volatilità, trend dell'oro (fase 1)",0.987,0.987,True,True
f_xau_range_4h_atrd,PRICE,False,False,Dukascopy XAUUSD,chiusura della candela,"rendimenti, volatilità, trend dell'oro (fase 1)",0.987,0.987,True,True
f_xau_dist_ema20h_atrh,PRICE,False,False,Dukascopy XAUUSD,chiusura della candela,"rendimenti, volatilità, trend dell'oro (fase 1)",1.0,1.0,True,True
f_xau_dist_ema100h_atrh,PRICE,False,False,Dukascopy XAUUSD,chiusura della candela,"rendimenti, volatilità, trend dell'oro (fase 1)",1.0,1.0,True,True
f_xau_dist_ema50d_atrd,PRICE,False,False,Dukascopy XAUUSD,chiusura della candela,"rendimenti, volatilità, trend dell'oro (fase 1)",1.0,1.0,True,True
f_xau_dist_ema200d_atrd,PRICE,False,False,Dukascopy XAUUSD,chiusura della candela,"rendimenti, volatilità, trend dell'oro (fase 1)",1.0,1.0,True,True
f_xau_ema50d_slope5_atrd,PRICE,False,False,Dukascopy XAUUSD,chiusura della candela,"rendimenti, volatilità, trend dell'oro (fase 1)",1.0,1.0,True,True
f_xau_dist_pdh_atrd,PRICE,False,False,Dukascopy XAUUSD,chiusura della candela,"rendimenti, volatilità, trend dell'oro (fase 1)",1.0,1.0,True,True
f_xau_dist_pdl_atrd,PRICE,False,False,Dukascopy XAUUSD,chiusura della candela,"rendimenti, volatilità, trend dell'oro (fase 1)",1.0,1.0,True,True
f_xau_pos_prevday,PRICE,False,False,Dukascopy XAUUSD,chiusura della candela,"rendimenti, volatilità, trend dell'oro (fase 1)",1.0,1.0,True,True
f_xau_pos_day,PRICE,False,False,Dukascopy XAUUSD,chiusura della candela,"rendimenti, volatilità, trend dell'oro (fase 1)",0.987,0.987,True,True
f_xau_day_range_atrd,PRICE,False,False,Dukascopy XAUUSD,chiusura della candela,"rendimenti, volatilità, trend dell'oro (fase 1)",0.987,0.987,True,True
f_xau_sweep_pdh,PRICE,False,False,Dukascopy XAUUSD,chiusura della candela,"rendimenti, volatilità, trend dell'oro (fase 1)",0.987,0.987,True,True
f_xau_sweep_pdl,PRICE,False,False,Dukascopy XAUUSD,chiusura della candela,"rendimenti, volatilità, trend dell'oro (fase 1)",0.987,0.987,True,True
f_xau_pos_20d,PRICE,False,False,Dukascopy XAUUSD,chiusura della candela,"rendimenti, volatilità, trend dell'oro (fase 1)",1.0,1.0,True,True
f_xau_breakout_20d,PRICE,False,False,Dukascopy XAUUSD,chiusura della candela,"rendimenti, volatilità, trend dell'oro (fase 1)",1.0,1.0,True,True
f_xau_pos_week,PRICE,False,False,Dukascopy XAUUSD,chiusura della candela,"rendimenti, volatilità, trend dell'oro (fase 1)",1.0,1.0,True,True
f_xau_dist_pwh_atrd,PRICE,False,False,Dukascopy XAUUSD,chiusura della candela,"rendimenti, volatilità, trend dell'oro (fase 1)",1.0,1.0,True,True
f_xau_dist_pwl_atrd,PRICE,False,False,Dukascopy XAUUSD,chiusura della candela,"rendimenti, volatilità, trend dell'oro (fase 1)",1.0,1.0,True,True
f_xau_dist_asia_hi_atrh,PRICE,False,False,Dukascopy XAUUSD,chiusura della candela,"rendimenti, volatilità, trend dell'oro (fase 1)",0.987,0.987,True,True
f_xau_dist_asia_lo_atrh,PRICE,False,False,Dukascopy XAUUSD,chiusura della candela,"rendimenti, volatilità, trend dell'oro (fase 1)",0.987,0.987,True,True
f_xau_sweep_asia_hi,PRICE,False,False,Dukascopy XAUUSD,chiusura della candela,"rendimenti, volatilità, trend dell'oro (fase 1)",0.987,0.987,True,True
f_xau_sweep_asia_lo,PRICE,False,False,Dukascopy XAUUSD,chiusura della candela,"rendimenti, volatilità, trend dell'oro (fase 1)",0.987,0.987,True,True
